,label
2016-01-04 09:30:00.300,-1
2016-01-04 09:31:00.300,-1
2016-01-04 09:32:00.300,-1
2016-01-04 09:33:00.800,-1
2016-01-04 09:34:00.300,-1
2016-01-04 09:35:00.300,-1
2016-01-04 09:36:00.800,-1
2016-01-04 09:37:00.300,-1
2016-01-04 09:38:00.300,-1
2016-01-04 09:39:00.300,-1
2016-01-04 09:40:00.300,-1
2016-01-04 09:41:00.300,-1
2016-01-04 09:42:00.300,-1
2016-01-04 09:43:00.300,-1
2016-01-04 09:44:01.800,-1
2016-01-04 09:45:00.300,-1
2016-01-04 09:46:00.800,-1
2016-01-04 09:47:00.800,-1
2016-01-04 09:48:00.300,-1
2016-01-04 09:49:00.300,-1
2016-01-04 09:50:00.300,-1
2016-01-04 09:51:00.300,-1
2016-01-04 09:52:00.300,-1
2016-01-04 09:53:00.300,-1
2016-01-04 09:54:00.300,-1
2016-01-04 09:55:00.300,-1
2016-01-04 09:56:00.300,-1
2016-01-04 09:57:00.300,-1
2016-01-04 09:58:00.300,-1
2016-01-04 09:59:00.800,-1
2016-01-04 10:00:00.300,-1
2016-01-04 10:01:00.300,-1
2016-01-04 10:02:00.300,-1
2016-01-04 10:03:00.300,-1
2016-01-04 10:04:00.300,-1
2016-01-04 10:05:00.300,-1
2016-01-04 10:06:00.300,-1
2016-01-04 10:07:00.300,0
2016-01-04 10:08:00.300,1
2016-01-04 10:09:00.300,1
2016-01-04 10:10:00.300,1
2016-01-04 10:11:00.300,1
2016-01-04 10:12:00.300,1
2016-01-04 10:13:00.300,1
2016-01-04 10:14:00.300,1
2016-01-04 10:15:00.300,1
2016-01-04 10:16:00.300,1
2016-01-04 10:17:00.300,1
2016-01-04 10:18:00.300,1
2016-01-04 10:19:00.300,1
2016-01-04 10:20:00.300,1
2016-01-04 10:21:00.300,1
2016-01-04 10:22:00.300,1
2016-01-04 10:23:00.300,1
2016-01-04 10:24:00.300,1
2016-01-04 10:25:00.300,1
2016-01-04 10:26:00.800,1
2016-01-04 10:27:00.300,1
2016-01-04 10:28:00.300,1
2016-01-04 10:29:00.300,1
2016-01-04 10:30:00.300,1
2016-01-04 10:31:00.300,1
2016-01-04 10:32:00.300,0
2016-01-04 10:33:00.800,0
2016-01-04 10:34:00.300,0
2016-01-04 10:35:00.300,0
2016-01-04 10:36:00.300,0
2016-01-04 10:37:00.300,0
2016-01-04 10:38:00.300,0
2016-01-04 10:39:00.300,0
2016-01-04 10:40:00.300,0
2016-01-04 10:41:00.300,-1
2016-01-04 10:42:00.300,-1
2016-01-04 10:43:00.300,-1
2016-01-04 10:44:00.300,-1
2016-01-04 10:45:00.800,-1
2016-01-04 10:46:00.300,-1
2016-01-04 10:47:00.800,-1
2016-01-04 10:48:00.300,-1
2016-01-04 10:49:00.300,-1
2016-01-04 10:50:00.300,-1
2016-01-04 10:51:00.300,-1
2016-01-04 10:52:01.300,-1
2016-01-04 10:53:00.300,-1
2016-01-04 10:54:01.300,-1
2016-01-04 10:55:01.300,-1
2016-01-04 10:56:01.300,-1
2016-01-04 10:57:00.300,-1
2016-01-04 10:58:00.300,0
2016-01-04 10:59:01.800,0
2016-01-04 11:00:00.300,0
2016-01-04 11:01:00.300,0
2016-01-04 11:02:02.300,0
2016-01-04 11:03:00.300,0
2016-01-04 11:04:00.800,0
2016-01-04 11:05:02.300,0
2016-01-04 11:06:00.800,0
2016-01-04 11:07:01.300,0
2016-01-04 11:08:00.300,0
2016-01-04 11:09:00.300,-1
2016-01-04 11:10:00.300,-1
2016-01-04 11:11:00.300,-1
2016-01-04 11:12:00.300,-1
2016-01-04 11:13:00.300,-1
2016-01-04 11:14:00.300,-1
2016-01-04 11:15:00.300,-1
2016-01-04 11:16:00.300,-1
2016-01-04 11:17:00.300,-1
2016-01-04 11:18:00.300,-1
2016-01-04 11:19:00.800,-1
2016-01-04 11:20:00.800,-1
2016-01-04 11:21:00.800,-1
2016-01-04 11:22:00.300,-1
2016-01-04 11:23:00.300,-1
2016-01-04 11:24:00.300,-1
2016-01-04 11:25:00.300,-1
2016-01-04 11:26:00.800,-1
2016-01-04 11:27:00.300,-1
2016-01-04 11:28:00.800,-1
2016-01-04 11:29:00.300,-1
2016-01-04 13:00:00.300,-1
2016-01-04 13:01:00.800,-1
2016-01-04 13:02:00.800,-1
2016-01-04 13:03:02.300,-1
2016-01-04 13:04:00.300,-1
2016-01-04 13:05:01.300,-1
2016-01-04 13:06:00.800,-1
2016-01-04 13:07:00.800,-1
2016-01-04 13:08:00.300,-1
2016-01-04 13:09:00.300,-1
2016-01-04 13:10:00.300,-1
2016-01-04 13:11:00.300,0
2016-01-04 13:12:00.300,1
2016-01-04 13:27:46.300,1
2016-01-04 13:28:00.300,1
2016-01-04 13:29:00.300,1
2016-01-04 13:30:00.300,1
2016-01-04 13:31:00.300,1
2016-01-04 13:32:00.300,1
2016-01-04 13:33:00.300,1
2016-01-05 09:30:00.500,1
2016-01-05 09:31:00.000,1
2016-01-05 09:32:00.000,1
2016-01-05 09:33:00.000,1
2016-01-05 09:34:00.000,1
2016-01-05 09:35:00.000,1
2016-01-05 09:36:00.000,1
2016-01-05 09:37:00.000,1
2016-01-05 09:38:00.000,1
2016-01-05 09:39:00.000,0
2016-01-05 09:40:00.000,0
2016-01-05 09:41:00.000,0
2016-01-05 09:42:00.000,-1
2016-01-05 09:43:00.000,-1
2016-01-05 09:44:00.500,-1
2016-01-05 09:45:00.000,-1
2016-01-05 09:46:00.000,-1
2016-01-05 09:47:00.000,-1
2016-01-05 09:48:00.000,-1
2016-01-05 09:49:00.000,-1
2016-01-05 09:50:00.000,-1
2016-01-05 09:51:00.000,-1
2016-01-05 09:52:00.000,-1
2016-01-05 09:53:00.000,-1
2016-01-05 09:54:00.000,0
2016-01-05 09:55:00.500,0
2016-01-05 09:56:00.500,0
2016-01-05 09:57:00.500,0
2016-01-05 09:58:00.000,1
2016-01-05 09:59:00.000,1
2016-01-05 10:00:00.500,1
2016-01-05 10:01:00.000,1
2016-01-05 10:02:00.000,1
2016-01-05 10:03:00.000,1
2016-01-05 10:04:00.000,1
2016-01-05 10:05:00.000,1
2016-01-05 10:06:01.000,1
2016-01-05 10:07:00.000,1
2016-01-05 10:08:01.000,1
2016-01-05 10:09:00.500,1
2016-01-05 10:10:00.000,1
2016-01-05 10:11:01.000,1
2016-01-05 10:12:00.500,1
2016-01-05 10:13:00.000,1
2016-01-05 10:14:00.000,1
2016-01-05 10:15:00.000,1
2016-01-05 10:16:00.500,1
2016-01-05 10:17:00.000,1
2016-01-05 10:18:00.000,1
2016-01-05 10:19:00.000,1
2016-01-05 10:20:00.500,1
2016-01-05 10:21:01.000,1
2016-01-05 10:22:00.000,0
2016-01-05 10:23:00.500,0
2016-01-05 10:24:00.000,0
2016-01-05 10:25:01.000,0
2016-01-05 10:26:00.000,0
2016-01-05 10:27:00.000,0
2016-01-05 10:28:00.500,0
2016-01-05 10:29:00.000,0
2016-01-05 10:30:00.000,0
2016-01-05 10:31:00.000,1
2016-01-05 10:32:00.000,1
2016-01-05 10:33:00.000,1
2016-01-05 10:34:00.000,1
2016-01-05 10:35:00.500,1
2016-01-05 10:36:00.500,1
2016-01-05 10:37:00.000,1
2016-01-05 10:38:00.500,1
2016-01-05 10:39:00.500,1
2016-01-05 10:40:00.000,1
2016-01-05 10:41:00.000,1
2016-01-05 10:42:00.500,1
2016-01-05 10:43:00.500,1
2016-01-05 10:44:00.500,1
2016-01-05 10:45:00.000,1
2016-01-05 10:46:00.500,1
2016-01-05 10:47:00.000,1
2016-01-05 10:48:00.000,1
2016-01-05 10:49:00.000,1
2016-01-05 10:50:01.000,1
2016-01-05 10:51:00.500,0
2016-01-05 10:52:00.000,0
2016-01-05 10:53:00.500,0
2016-01-05 10:54:01.500,0
2016-01-05 10:55:01.500,0
2016-01-05 10:56:00.000,-1
2016-01-05 10:57:00.000,-1
2016-01-05 10:58:02.500,-1
2016-01-05 10:59:00.000,-1
2016-01-05 11:00:00.500,-1
2016-01-05 11:01:00.500,-1
2016-01-05 11:02:00.000,-1
2016-01-05 11:03:00.000,-1
2016-01-05 11:04:00.000,-1
2016-01-05 11:05:00.000,-1
2016-01-05 11:06:00.000,-1
2016-01-05 11:07:00.500,-1
2016-01-05 11:08:00.500,-1
2016-01-05 11:09:00.500,-1
2016-01-05 11:10:00.000,-1
2016-01-05 11:11:00.000,-1
2016-01-05 11:12:04.000,-1
2016-01-05 11:13:01.500,-1
2016-01-05 11:14:00.000,-1
2016-01-05 11:15:00.000,-1
2016-01-05 11:16:00.000,-1
2016-01-05 11:17:00.000,-1
2016-01-05 11:18:00.000,-1
2016-01-05 11:19:00.000,-1
2016-01-05 11:20:01.500,-1
2016-01-05 11:21:00.500,-1
